entry_date,direction,entry_spread,exit_date,pnl,fold,pair
2024-12-30,long,78.51727159810892,2024-12-31,0.7965,9,GLD/RTX
2024-12-31,short,79.31377434601893,2025-01-02,-2.882,9,GLD/RTX
2025-01-02,long,82.19574627655564,2025-01-03,-1.733,9,GLD/RTX
2025-01-03,short,80.46273018737855,2025-01-06,-2.1904,9,GLD/RTX
2025-01-06,long,82.65309286612364,2025-01-07,0.3851,9,GLD/RTX
2025-01-07,short,83.03819403370267,2025-01-08,0.2758,9,GLD/RTX
2025-01-08,long,82.76238439262715,2025-01-10,3.4896,9,GLD/RTX
2025-01-10,short,86.25202343542921,2025-01-13,6.1704,9,GLD/RTX
2025-01-13,long,80.08167161641023,2025-01-14,-1.1441,9,GLD/RTX
2025-01-14,short,78.93758291817886,2025-01-15,-2.3847,9,GLD/RTX
2025-01-15,long,81.32224605195589,2025-01-16,-0.2076,9,GLD/RTX
2025-01-16,short,81.11467493719306,2025-01-17,2.2446,9,GLD/RTX
2025-01-17,long,78.87012006846882,2025-01-21,-2.6684,9,GLD/RTX
2025-01-21,short,76.2017239063444,2025-01-22,-3.2275,9,GLD/RTX
2025-01-22,long,79.42927301819151,2025-01-23,-3.0473,9,GLD/RTX
2025-01-23,short,76.38194534952194,2025-01-24,-2.9588,9,GLD/RTX
2025-01-24,long,79.34077904460435,2025-01-27,-2.2942,9,GLD/RTX
2025-01-27,short,77.0465964331292,2025-01-28,2.4531,9,GLD/RTX
2025-01-28,long,74.59353259839779,2025-01-29,3.5505,9,GLD/RTX
2025-01-29,short,78.14404242910507,2025-01-30,1.5669,9,GLD/RTX
2025-01-30,long,76.57715510904177,2025-01-31,0.5522,9,GLD/RTX
2025-01-31,short,77.12936942183012,2025-02-03,-0.0152,9,GLD/RTX
2025-02-03,long,77.1446063808012,2025-02-04,4.7408,9,GLD/RTX
2025-02-04,short,81.88541457442861,2025-02-05,-0.5185,9,GLD/RTX
2025-02-05,long,82.40387881637977,2025-02-06,-0.1653,9,GLD/RTX
2025-02-06,short,82.23853465619752,2025-02-25,-6.3093,9,GLD/RTX
2025-02-25,long,88.54784443273556,2025-02-26,0.4524,9,GLD/RTX
2025-02-26,short,89.00026195717302,2025-02-27,8.6393,9,GLD/RTX
2025-02-27,long,80.36097007507976,2025-02-28,-5.1528,9,GLD/RTX
2025-03-03,long,5.052805632053719,2025-03-04,1.8834,10,GDX/RTX
2025-03-04,short,6.936211823690414,2025-03-10,-0.2746,10,GDX/RTX
2025-03-10,long,7.210778319997097,2025-03-11,1.4257,10,GDX/RTX
2025-03-11,short,8.636487795147211,2025-05-02,-4.6629,10,GDX/RTX
2025-05-02,long,13.299370833832533,2025-05-05,2.0442,10,GDX/RTX
2025-05-05,short,15.343609612612362,2025-05-12,2.5908,10,GDX/RTX
2025-05-12,long,12.752799044585544,2025-05-13,-0.1205,10,GDX/RTX
2025-05-13,short,12.63228473784985,2025-05-14,1.0008,10,GDX/RTX
2025-05-14,long,11.63144522358035,2025-05-15,-0.2816,10,GDX/RTX
2025-05-15,short,11.349886610244624,2025-05-16,0.1486,10,GDX/RTX
2025-05-16,long,11.201318881602504,2025-05-19,0.561,10,GDX/RTX
2025-05-19,short,11.76229561834397,2025-05-20,-1.4645,10,GDX/RTX
2025-05-20,long,13.226825831473207,2025-05-21,1.1982,10,GDX/RTX
2025-05-21,short,14.42500691080852,2025-05-22,0.0321,10,GDX/RTX
2025-05-22,long,14.392883306409963,2025-05-23,1.6087,10,GDX/RTX
2025-05-23,short,16.001605225142583,2025-05-27,1.2295,10,GDX/RTX
2025-05-28,long,24.40401117513823,2025-05-29,0.27,11,XLE/XLK
2025-05-29,short,24.673974737065233,2025-05-30,0.3065,11,XLE/XLK
2025-05-30,long,24.367501966941994,2025-06-02,0.3847,11,XLE/XLK
2025-06-02,short,24.7521950945916,2025-06-03,-0.2454,11,XLE/XLK
2025-06-03,long,24.9976349977985,2025-06-04,-0.8126,11,XLE/XLK
2025-06-04,short,24.185049912543576,2025-06-05,-0.0051,11,XLE/XLK
2025-06-05,long,24.19019308618668,2025-06-06,0.5999,11,XLE/XLK
2025-06-06,short,24.790132764239956,2025-06-09,-0.0008,11,XLE/XLK
2025-06-09,long,24.790979565743626,2025-06-10,0.634,11,XLE/XLK
2025-06-10,short,25.42501004716946,2025-06-11,-0.6306,11,XLE/XLK
2025-06-11,long,26.055608473445993,2025-06-12,-0.0008,11,XLE/XLK
2025-06-12,short,26.054827694109576,2025-06-13,-0.9543,11,XLE/XLK
2025-06-13,long,27.00911399897646,2025-06-16,-0.3795,11,XLE/XLK
2025-06-16,short,26.62959018641784,2025-06-17,-0.5099,11,XLE/XLK
2025-06-17,long,27.139533309506923,2025-06-18,-0.3,11,XLE/XLK
2025-06-18,short,26.839557310187416,2025-06-20,-0.5061,11,XLE/XLK
2025-06-20,long,27.345665603377526,2025-06-23,-1.2698,11,XLE/XLK
2025-06-23,short,26.07588620495646,2025-06-24,0.8331,11,XLE/XLK
2025-06-24,long,25.242752713672715,2025-06-25,-0.3192,11,XLE/XLK
2025-06-25,short,24.92356340416752,2025-06-26,-0.4781,11,XLE/XLK
2025-06-26,long,25.401630587454992,2025-06-27,-0.2001,11,XLE/XLK
2025-06-27,short,25.201546658121096,2025-06-30,0.4008,11,XLE/XLK
2025-06-30,long,24.800786660841894,2025-07-01,0.4658,11,XLE/XLK
2025-07-01,short,25.266562316040027,2025-07-02,-0.544,11,XLE/XLK
2025-07-02,long,25.810577161930173,2025-07-03,-0.1704,11,XLE/XLK
2025-07-03,short,25.640212870875224,2025-07-07,0.2764,11,XLE/XLK
2025-07-07,long,25.363850476005883,2025-07-08,1.0431,11,XLE/XLK
2025-07-08,short,26.406997410788062,2025-07-09,0.3208,11,XLE/XLK
2025-07-09,long,26.086149067006314,2025-07-10,0.383,11,XLE/XLK
2025-07-10,short,26.469157122719917,2025-07-11,-0.2695,11,XLE/XLK
2025-07-11,long,26.738673170720816,2025-07-14,-0.4648,11,XLE/XLK
2025-07-14,short,26.273840551910833,2025-07-15,0.7692,11,XLE/XLK
2025-07-15,long,25.504602465986654,2025-07-16,-0.4188,11,XLE/XLK
2025-07-16,short,25.085805179724705,2025-07-17,-0.1046,11,XLE/XLK
2025-07-17,long,25.190427894475423,2025-07-18,-0.3307,11,XLE/XLK
2025-07-18,short,24.859707569539264,2025-07-21,0.457,11,XLE/XLK
2025-07-21,long,24.40273016867694,2025-07-22,0.3542,11,XLE/XLK
2025-07-22,short,24.756907081510764,2025-07-23,-0.5573,11,XLE/XLK
2025-07-23,long,25.31421701481101,2025-07-24,0.2306,11,XLE/XLK
2025-07-24,short,25.544822388252943,2025-07-25,0.2005,11,XLE/XLK
2025-07-25,long,25.344282446352555,2025-07-28,0.3463,11,XLE/XLK
2025-07-28,short,25.69061556299672,2025-07-29,-0.4194,11,XLE/XLK
2025-07-29,long,26.109973414253094,2025-07-30,-0.659,11,XLE/XLK
2025-07-30,short,25.45100327348669,2025-07-31,0.1022,11,XLE/XLK
2025-07-31,long,25.34878028491224,2025-08-01,-0.4191,11,XLE/XLK
2025-08-01,short,24.92971308863157,2025-08-04,0.4354,11,XLE/XLK
2025-08-04,long,24.494329789894326,2025-08-05,0.1961,11,XLE/XLK
2025-08-05,short,24.690472937630975,2025-08-06,0.5781,11,XLE/XLK
2025-08-06,long,24.112351766804228,2025-08-07,-0.1769,11,XLE/XLK
2025-08-08,long,24.026554127339704,2025-08-11,-0.214,11,XLE/XLK
2025-08-12,long,23.744395759194838,2025-08-13,0.4721,11,XLE/XLK
2025-08-13,short,24.216452583328643,2025-08-14,0.001,11,XLE/XLK
2025-08-14,long,24.21544812004469,2025-08-15,0.1332,11,XLE/XLK
2025-08-15,short,24.348674934975538,2025-08-18,0.2865,11,XLE/XLK
2025-08-18,long,24.062193827749294,2025-08-19,0.3198,11,XLE/XLK
2025-08-19,short,24.382021159641152,2025-08-20,-0.4629,11,XLE/XLK
2025-08-20,long,24.844942879822998,2025-08-21,0.3498,11,XLE/XLK
2025-08-22,long,-8.022446210766503,2025-08-25,1.5009,12,RTX/SLV
2025-08-25,short,-6.521496251119203,2025-08-29,3.0759,12,RTX/SLV
2025-08-29,long,-9.597438824752516,2025-10-22,-16.1977,12,RTX/SLV
2025-10-22,short,-25.79509142575509,2025-10-23,-0.0641,12,RTX/SLV
2025-10-23,long,-25.73102887749542,2025-10-24,0.0926,12,RTX/SLV
2025-10-24,short,-25.63847603446095,2025-10-27,-7.8939,12,RTX/SLV
2025-10-27,long,-17.744547084692357,2025-10-28,-1.9429,12,RTX/SLV
2025-10-28,short,-19.687427285456124,2025-10-29,4.7206,12,RTX/SLV
2025-10-29,long,-24.408076385107336,2025-10-30,-4.0557,12,RTX/SLV
2025-10-30,short,-28.46374262685029,2025-10-31,-2.585,12,RTX/SLV
2025-10-31,long,-25.878702936474866,2025-11-03,-0.294,12,RTX/SLV
2025-11-03,short,-26.172655538469485,2025-11-04,-3.276,12,RTX/SLV
2025-11-04,long,-22.896614898926316,2025-11-05,-5.7758,12,RTX/SLV
2025-11-05,short,-28.672397600109804,2025-11-06,-1.5473,12,RTX/SLV
2025-11-06,long,-27.125075539090574,2025-11-07,0.1476,12,RTX/SLV
2025-11-07,short,-26.977512842511885,2025-11-10,6.5614,12,RTX/SLV
2025-11-10,long,-33.53895409981942,2025-11-14,-4.2023,12,RTX/SLV
2025-11-17,short,37.137808734946475,2025-11-18,-0.4743,13,XLE/XLK
2025-11-18,long,37.612062975138564,2025-11-19,-0.6315,13,XLE/XLK
2025-11-19,short,36.98051496003185,2025-11-20,0.2736,13,XLE/XLK
2025-11-20,long,36.706961681655415,2025-11-21,0.2486,13,XLE/XLK
2025-11-21,short,36.955546138159605,2025-11-24,0.2921,13,XLE/XLK
2025-11-24,long,36.66349228631286,2025-11-25,-0.2953,13,XLE/XLK
2025-11-25,short,36.36820201748365,2025-11-26,-0.2439,13,XLE/XLK
2025-11-26,long,36.61206684286816,2025-11-28,0.513,13,XLE/XLK
2025-11-28,short,37.12504555001349,2025-12-01,-0.4252,13,XLE/XLK
2025-12-01,long,37.550196515363375,2025-12-02,-0.6578,13,XLE/XLK
2025-12-02,short,36.892441442644795,2025-12-03,-0.8145,13,XLE/XLK
2025-12-03,long,37.70695412204568,2025-12-04,0.1641,13,XLE/XLK
2025-12-04,short,37.87102782127552,2025-12-05,0.2424,13,XLE/XLK
2025-12-05,long,37.62858499491946,2025-12-08,-0.546,13,XLE/XLK
2025-12-08,short,37.08257936768874,2025-12-09,-0.2556,13,XLE/XLK
2025-12-09,long,37.33817800036422,2025-12-10,0.436,13,XLE/XLK
2025-12-10,short,37.77418408284234,2025-12-11,0.1773,13,XLE/XLK
2025-12-11,long,37.596899303863026,2025-12-12,-0.2212,13,XLE/XLK
2025-12-12,short,37.37570484095199,2025-12-15,0.2431,13,XLE/XLK
2025-12-15,long,37.132602832589626,2025-12-16,-1.3729,13,XLE/XLK
2025-12-16,short,35.75965933070792,2025-12-17,-1.1201,13,XLE/XLK
2025-12-17,long,36.87971965795786,2025-12-18,-0.7519,13,XLE/XLK
